JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,4783,2297,2486,1334,720,614,3449,1577,1872
ARAD,2301,1219,1082,814,477,337,1487,742,745
ARGES,7759,3797,3962,1162,699,463,6597,3098,3499
BACAU,6163,2620,3543,1901,919,982,4262,1701,2561
BIHOR,2814,1491,1323,767,460,307,2047,1031,1016
BISTRITA NASAUD,4016,1983,2033,1236,690,546,2780,1293,1487
BOTOSANI,3084,1461,1623,942,495,447,2142,966,1176
BRAILA,3226,1348,1878,745,373,372,2481,975,1506
BRASOV,5069,2488,2581,1315,733,582,3754,1755,1999
BUZAU,8396,3605,4791,1504,771,733,6892,2834,4058
CALARASI,3211,1547,1664,894,444,450,2317,1103,1214
CARAS-SEVERIN,2323,1082,1241,961,470,491,1362,612,750
CLUJ,4002,2033,1969,1565,952,613,2437,1081,1356
CONSTANTA,4617,2573,2044,1928,1201,727,2689,1372,1317
COVASNA,3462,1691,1771,786,407,379,2676,1284,1392
DAMBOVITA,4968,2470,2498,639,354,285,4329,2116,2213
DOLJ,14843,6397,8446,1891,1024,867,12952,5373,7579
GALATI,10428,4677,5751,1559,831,728,8869,3846,5023
GIURGIU,1914,1041,873,406,250,156,1508,791,717
GORJ,3594,1743,1851,1066,616,450,2528,1127,1401
HARGHITA,4551,2112,2439,1234,622,612,3317,1490,1827
HUNEDOARA,6330,3205,3125,4175,2144,2031,2155,1061,1094
IALOMITA,3467,1584,1883,861,395,466,2606,1189,1417
IASI,7834,3467,4367,1088,578,510,6746,2889,3857
ILFOV,892,512,380,163,103,60,729,409,320
MARAMURES,3345,1698,1647,1551,812,739,1794,886,908
MEHEDINTI,5178,2185,2993,712,379,333,4466,1806,2660
MURES,5605,2559,3046,1242,659,583,4363,1900,2463
NEAMT,5660,2530,3130,1030,552,478,4630,1978,2652
OLT,7078,3130,3948,1273,628,645,5805,2502,3303
PRAHOVA,5649,2892,2757,1722,988,734,3927,1904,2023
SALAJ,4250,1861,2389,731,412,319,3519,1449,2070
SATU MARE,4315,1961,2354,663,339,324,3652,1622,2030
SIBIU,3271,1544,1727,975,484,491,2296,1060,1236
SUCEAVA,10093,4334,5759,2640,1209,1431,7453,3125,4328
TELEORMAN,8178,3376,4802,1479,696,783,6699,2680,4019
TIMIS,2457,1291,1166,1096,586,510,1361,705,656
TULCEA,2440,1226,1214,671,387,284,1769,839,930
VALCEA,4249,2141,2108,1233,731,502,3016,1410,1606
VASLUI,8477,3532,4945,1063,561,502,7414,2971,4443
VRANCEA,4983,2203,2780,802,412,390,4181,1791,2390
BUCURESTI,13437,7109,6328,13437,7109,6328,0,0,0
TOTAL,222712,104015,118697,63256,33672,29584,159456,70343,89113
