JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5795,2730,3065,1789,930,859,4006,1800,2206
ARAD,2278,1175,1103,826,461,365,1452,714,738
ARGES,8289,3892,4397,1210,699,511,7079,3193,3886
BACAU,5322,2251,3071,1928,902,1026,3394,1349,2045
BIHOR,2933,1552,1381,823,455,368,2110,1097,1013
BISTRITA NASAUD,3593,1784,1809,1096,620,476,2497,1164,1333
BOTOSANI,3480,1574,1906,1082,523,559,2398,1051,1347
BRAILA,3517,1540,1977,837,436,401,2680,1104,1576
BRASOV,5824,2798,3026,1575,843,732,4249,1955,2294
BUZAU,7755,3245,4510,1210,617,593,6545,2628,3917
CALARASI,3848,1824,2024,976,507,469,2872,1317,1555
CARAS-SEVERIN,2351,1100,1251,890,448,442,1461,652,809
CLUJ,4356,2186,2170,1654,997,657,2702,1189,1513
CONSTANTA,6467,4160,2307,2886,2074,812,3581,2086,1495
COVASNA,3059,1431,1628,822,418,404,2237,1013,1224
DAMBOVITA,5213,2749,2464,801,467,334,4412,2282,2130
DOLJ,16957,7333,9624,2272,1203,1069,14685,6130,8555
GALATI,10292,4746,5546,1728,977,751,8564,3769,4795
GIURGIU,2106,1121,985,451,294,157,1655,827,828
GORJ,4193,2163,2030,1140,659,481,3053,1504,1549
HARGHITA,5319,2398,2921,1451,720,731,3868,1678,2190
HUNEDOARA,6090,3232,2858,4017,2149,1868,2073,1083,990
IALOMITA,4204,2116,2088,1144,607,537,3060,1509,1551
IASI,8501,3724,4777,1229,620,609,7272,3104,4168
ILFOV,946,559,387,160,109,51,786,450,336
MARAMURES,3841,1969,1872,1852,1004,848,1989,965,1024
MEHEDINTI,6032,2645,3387,1008,533,475,5024,2112,2912
MURES,6616,3050,3566,1747,880,867,4869,2170,2699
NEAMT,6957,2973,3984,1131,595,536,5826,2378,3448
OLT,8237,3847,4390,1356,739,617,6881,3108,3773
PRAHOVA,5867,2899,2968,1714,985,729,4153,1914,2239
SALAJ,4654,2014,2640,762,416,346,3892,1598,2294
SATU MARE,4983,2174,2809,941,453,488,4042,1721,2321
SIBIU,4597,2208,2389,1292,650,642,3305,1558,1747
SUCEAVA,11298,4754,6544,3021,1429,1592,8277,3325,4952
TELEORMAN,9405,3966,5439,1810,879,931,7595,3087,4508
TIMIS,2225,1124,1101,964,516,448,1261,608,653
TULCEA,2988,1441,1547,842,452,390,2146,989,1157
VALCEA,4774,2362,2412,1373,748,625,3401,1614,1787
VASLUI,8793,3597,5196,1107,570,537,7686,3027,4659
VRANCEA,4865,2099,2766,795,396,399,4070,1703,2367
BUCURESTI,12402,6542,5860,12402,6542,5860,0,0,0
TOTAL,241222,113047,128175,68114,36522,31592,173108,76525,96583
