JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5656,2690,2966,1810,954,856,3846,1736,2110
ARAD,2357,1250,1107,926,531,395,1431,719,712
ARGES,8146,3863,4283,1283,755,528,6863,3108,3755
BACAU,5359,2377,2982,1926,948,978,3433,1429,2004
BIHOR,2959,1609,1350,834,470,364,2125,1139,986
BISTRITA NASAUD,4882,2497,2385,1610,890,720,3272,1607,1665
BOTOSANI,3376,1578,1798,1039,496,543,2337,1082,1255
BRAILA,3542,1573,1969,901,472,429,2641,1101,1540
BRASOV,5808,2796,3012,1651,900,751,4157,1896,2261
BUZAU,7493,3153,4340,1228,637,591,6265,2516,3749
CALARASI,3641,1777,1864,1032,529,503,2609,1248,1361
CARAS-SEVERIN,2354,1120,1234,903,470,433,1451,650,801
CLUJ,4344,2248,2096,1675,1023,652,2669,1225,1444
CONSTANTA,6095,3832,2263,2829,1978,851,3266,1854,1412
COVASNA,3200,1496,1704,973,474,499,2227,1022,1205
DAMBOVITA,4653,2422,2231,682,388,294,3971,2034,1937
DOLJ,16648,7301,9347,2372,1260,1112,14276,6041,8235
GALATI,10160,4656,5504,1933,1018,915,8227,3638,4589
GIURGIU,2235,1241,994,525,340,185,1710,901,809
GORJ,4242,2121,2121,1326,754,572,2916,1367,1549
HARGHITA,5249,2457,2792,1531,774,757,3718,1683,2035
HUNEDOARA,6216,3328,2888,4160,2247,1913,2056,1081,975
IALOMITA,3837,1827,2010,1013,519,494,2824,1308,1516
IASI,8500,3822,4678,1243,660,583,7257,3162,4095
ILFOV,786,478,308,167,108,59,619,370,249
MARAMURES,3548,1824,1724,1682,886,796,1866,938,928
MEHEDINTI,5684,2438,3246,936,496,440,4748,1942,2806
MURES,6713,3106,3607,1804,912,892,4909,2194,2715
NEAMT,6123,2743,3380,1111,606,505,5012,2137,2875
OLT,8208,3747,4461,1518,853,665,6690,2894,3796
PRAHOVA,5969,2952,3017,1775,993,782,4194,1959,2235
SALAJ,4669,2024,2645,852,474,378,3817,1550,2267
SATU MARE,4796,2152,2644,812,412,400,3984,1740,2244
SIBIU,4255,2008,2247,1281,651,630,2974,1357,1617
SUCEAVA,10539,4607,5932,2831,1351,1480,7708,3256,4452
TELEORMAN,8881,3855,5026,1778,868,910,7103,2987,4116
TIMIS,2752,1438,1314,1240,659,581,1512,779,733
TULCEA,2882,1389,1493,904,476,428,1978,913,1065
VALCEA,4946,2471,2475,1514,816,698,3432,1655,1777
VASLUI,8926,3669,5257,1120,576,544,7806,3093,4713
VRANCEA,5059,2250,2809,900,468,432,4159,1782,2377
BUCURESTI,12824,6612,6212,12824,6612,6212,0,0,0
TOTAL,238512,112797,125715,70454,37704,32750,168058,75093,92965
