JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,4757,2303,2454,1473,816,657,3284,1487,1797
ARAD,2378,1268,1110,886,510,376,1492,758,734
ARGES,7934,3888,4046,1265,753,512,6669,3135,3534
BACAU,5862,2549,3313,1916,930,986,3946,1619,2327
BIHOR,2699,1491,1208,777,466,311,1922,1025,897
BISTRITA NASAUD,3934,1978,1956,1231,668,563,2703,1310,1393
BOTOSANI,3361,1623,1738,1045,530,515,2316,1093,1223
BRAILA,3392,1465,1927,826,435,391,2566,1030,1536
BRASOV,5186,2553,2633,1457,818,639,3729,1735,1994
BUZAU,7446,3221,4225,1340,686,654,6106,2535,3571
CALARASI,3328,1719,1609,961,502,459,2367,1217,1150
CARAS-SEVERIN,2337,1102,1235,969,477,492,1368,625,743
CLUJ,4069,2103,1966,1607,1004,603,2462,1099,1363
CONSTANTA,4726,2610,2116,2021,1239,782,2705,1371,1334
COVASNA,3564,1728,1836,1108,580,528,2456,1148,1308
DAMBOVITA,4729,2364,2365,643,345,298,4086,2019,2067
DOLJ,15072,6517,8555,1970,1071,899,13102,5446,7656
GALATI,10872,4962,5910,1880,999,881,8992,3963,5029
GIURGIU,2066,1138,928,507,318,189,1559,820,739
GORJ,4030,2017,2013,1311,756,555,2719,1261,1458
HARGHITA,4605,2199,2406,1304,674,630,3301,1525,1776
HUNEDOARA,5795,3204,2591,3786,2157,1629,2009,1047,962
IALOMITA,3296,1544,1752,820,401,419,2476,1143,1333
IASI,8200,3675,4525,1219,641,578,6981,3034,3947
ILFOV,895,503,392,168,101,67,727,402,325
MARAMURES,3273,1677,1596,1500,824,676,1773,853,920
MEHEDINTI,5149,2191,2958,750,400,350,4399,1791,2608
MURES,5852,2739,3113,1399,755,644,4453,1984,2469
NEAMT,5471,2451,3020,1034,533,501,4437,1918,2519
OLT,7326,3268,4058,1447,790,657,5879,2478,3401
PRAHOVA,5820,2942,2878,1786,996,790,4034,1946,2088
SALAJ,4354,1917,2437,852,470,382,3502,1447,2055
SATU MARE,4428,2022,2406,725,375,350,3703,1647,2056
SIBIU,3443,1651,1792,1160,613,547,2283,1038,1245
SUCEAVA,9990,4379,5611,2632,1227,1405,7358,3152,4206
TELEORMAN,8150,3477,4673,1531,731,800,6619,2746,3873
TIMIS,2756,1450,1306,1285,696,589,1471,754,717
TULCEA,2391,1220,1171,668,389,279,1723,831,892
VALCEA,4270,2139,2131,1304,726,578,2966,1413,1553
VASLUI,8561,3547,5014,1020,539,481,7541,3008,4533
VRANCEA,5007,2208,2799,842,426,416,4165,1782,2383
BUCURESTI,13270,6926,6344,13270,6926,6344,0,0,0
TOTAL,224044,105928,118116,65695,35293,30402,158349,70635,87714
