JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,4581,2209,2372,1362,747,615,3219,1462,1757
ARAD,2311,1225,1086,844,488,356,1467,737,730
ARGES,7820,3824,3996,1184,714,470,6636,3110,3526
BACAU,5969,2573,3396,1886,919,967,4083,1654,2429
BIHOR,2721,1461,1260,757,447,310,1964,1014,950
BISTRITA NASAUD,4043,2008,2035,1235,680,555,2808,1328,1480
BOTOSANI,3326,1602,1724,1039,533,506,2287,1069,1218
BRAILA,3331,1419,1912,812,425,387,2519,994,1525
BRASOV,5259,2628,2631,1475,828,647,3784,1800,1984
BUZAU,8580,3713,4867,1551,778,773,7029,2935,4094
CALARASI,3304,1590,1714,891,458,433,2413,1132,1281
CARAS-SEVERIN,2292,1061,1231,919,450,469,1373,611,762
CLUJ,4013,2054,1959,1568,969,599,2445,1085,1360
CONSTANTA,4742,2619,2123,2000,1236,764,2742,1383,1359
COVASNA,3477,1740,1737,915,484,431,2562,1256,1306
DAMBOVITA,5106,2564,2542,658,366,292,4448,2198,2250
DOLJ,14795,6374,8421,1922,1041,881,12873,5333,7540
GALATI,10817,4917,5900,1792,940,852,9025,3977,5048
GIURGIU,2027,1115,912,471,297,174,1556,818,738
GORJ,3751,1833,1918,1150,665,485,2601,1168,1433
HARGHITA,4501,2111,2390,1224,631,593,3277,1480,1797
HUNEDOARA,5690,3117,2573,3700,2075,1625,1990,1042,948
IALOMITA,3411,1603,1808,841,406,435,2570,1197,1373
IASI,7955,3533,4422,1164,628,536,6791,2905,3886
ILFOV,903,515,388,162,101,61,741,414,327
MARAMURES,3170,1619,1551,1481,782,699,1689,837,852
MEHEDINTI,5077,2160,2917,709,387,322,4368,1773,2595
MURES,5682,2644,3038,1311,701,610,4371,1943,2428
NEAMT,5486,2453,3033,1019,532,487,4467,1921,2546
OLT,7356,3273,4083,1500,819,681,5856,2454,3402
PRAHOVA,5806,2951,2855,1785,1018,767,4021,1933,2088
SALAJ,4343,1930,2413,828,465,363,3515,1465,2050
SATU MARE,4377,1991,2386,704,356,348,3673,1635,2038
SIBIU,3362,1590,1772,1067,539,528,2295,1051,1244
SUCEAVA,10071,4427,5644,2709,1272,1437,7362,3155,4207
TELEORMAN,7914,3334,4580,1460,696,764,6454,2638,3816
TIMIS,2745,1431,1314,1294,688,606,1451,743,708
TULCEA,2477,1269,1208,697,404,293,1780,865,915
VALCEA,4226,2129,2097,1251,731,520,2975,1398,1577
VASLUI,8281,3461,4820,1026,548,478,7255,2913,4342
VRANCEA,4996,2223,2773,797,413,384,4199,1810,2389
BUCURESTI,13386,7023,6363,13386,7023,6363,0,0,0
TOTAL,223480,105316,118164,64546,34680,29866,158934,70636,88298
