JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5795,2730,3065,1408,4387,3.85,3.94,3.77
ARAD,2278,1175,1103,944,1334,1.20,1.42,1.03
ARGES,8289,3892,4397,1869,6420,3.65,3.77,3.55
BACAU,5322,2251,3071,1361,3961,2.87,2.86,2.88
BIHOR,2933,1552,1381,1087,1846,1.25,1.49,1.06
BISTRITA NASAUD,3593,1784,1809,1693,1900,3.20,3.66,2.84
BOTOSANI,3480,1574,1906,699,2781,3.23,3.18,3.27
BRAILA,3517,1540,1977,425,3092,3.27,3.20,3.32
BRASOV,5824,2798,3026,710,5114,2.31,2.56,2.13
BUZAU,7755,3245,4510,911,6844,5.47,5.13,5.73
CALARASI,3848,1824,2024,539,3309,5.25,5.58,4.99
CARAS-SEVERIN,2351,1100,1251,790,1561,2.59,2.93,2.35
CLUJ,4356,2186,2170,1012,3344,1.24,1.42,1.10
CONSTANTA,6467,4160,2307,2655,3812,2.37,3.63,1.46
COVASNA,3059,1431,1628,436,2623,3.93,4.20,3.73
DAMBOVITA,5213,2749,2464,991,4222,3.17,4.22,2.48
DOLJ,16957,7333,9624,1585,15372,7.54,7.44,7.61
GALATI,10292,4746,5546,1086,9206,6.21,6.51,5.97
GIURGIU,2106,1121,985,287,1819,3.27,3.96,2.72
GORJ,4193,2163,2030,1000,3193,3.51,3.94,3.14
HARGHITA,5319,2398,2921,1263,4056,4.49,4.82,4.25
HUNEDOARA,6090,3232,2858,1951,4139,3.91,4.65,3.32
IALOMITA,4204,2116,2088,657,3547,5.39,6.12,4.81
IASI,8501,3724,4777,875,7626,3.17,3.04,3.28
ILFOV,946,559,387,245,701,0.46,0.68,0.31
MARAMURES,3841,1969,1872,1085,2756,2.19,2.49,1.94
MEHEDINTI,6032,2645,3387,750,5282,7.30,7.37,7.25
BUCURESTI,12402,6542,5860,1192,11210,1.01,1.07,0.96
MURES,6616,3050,3566,1060,5556,3.19,3.45,2.99
NEAMT,6957,2973,3984,1384,5573,4.62,4.57,4.66
OLT,8237,3847,4390,1024,7213,6.37,6.94,5.93
PRAHOVA,5867,2899,2968,1708,4159,2.21,2.64,1.91
SALAJ,4654,2014,2640,744,3910,5.19,5.31,5.10
SATU MARE,4983,2174,2809,671,4312,3.90,3.81,3.97
SIBIU,4597,2208,2389,869,3728,2.49,2.70,2.33
SUCEAVA,11298,4754,6544,2918,8380,5.90,5.76,6.01
TELEORMAN,9405,3966,5439,967,8438,8.67,7.90,9.33
TIMIS,2225,1124,1101,852,1373,0.68,0.81,0.59
TULCEA,2988,1441,1547,857,2131,4.12,4.43,3.87
VALCEA,4774,2362,2412,1486,3288,3.43,3.95,3.05
VASLUI,8793,3597,5196,819,7974,8.30,7.27,9.20
VRANCEA,4865,2099,2766,587,4278,4.30,4.04,4.52
TOTAL,241222,113047,128175,45452,195770,3.08,3.23,2.95
