JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5881,2743,3138,1451,4430,3.90,3.96,3.86
ARAD,2173,1124,1049,922,1251,1.14,1.36,0.98
ARGES,8244,3844,4400,1831,6413,3.63,3.72,3.56
BACAU,5382,2279,3103,1440,3942,2.90,2.90,2.91
BIHOR,2924,1560,1364,1094,1830,1.25,1.50,1.05
BISTRITA NASAUD,3976,1979,1997,1661,2315,3.54,4.06,3.14
BOTOSANI,3431,1550,1881,754,2677,3.19,3.13,3.23
BRAILA,3555,1578,1977,435,3120,3.30,3.28,3.32
BRASOV,5640,2689,2951,723,4917,2.24,2.46,2.07
BUZAU,7780,3273,4507,889,6891,5.48,5.18,5.73
CALARASI,3705,1768,1937,492,3213,5.05,5.41,4.77
CARAS-SEVERIN,2437,1141,1296,844,1593,2.69,3.04,2.44
CLUJ,4390,2224,2166,1020,3370,1.25,1.45,1.10
CONSTANTA,6432,4102,2330,2587,3845,2.36,3.58,1.47
COVASNA,3017,1394,1623,455,2562,3.88,4.09,3.71
DAMBOVITA,5152,2719,2433,1066,4086,3.13,4.18,2.45
DOLJ,17165,7466,9699,1659,15506,7.63,7.58,7.67
GALATI,10091,4598,5493,1043,9048,6.09,6.31,5.91
GIURGIU,2147,1178,969,291,1856,3.33,4.16,2.68
GORJ,4161,2074,2087,1026,3135,3.48,3.78,3.23
HARGHITA,5511,2463,3048,1304,4207,4.65,4.96,4.43
HUNEDOARA,6270,3307,2963,2006,4264,4.03,4.76,3.44
IALOMITA,4136,2054,2082,620,3516,5.30,5.94,4.80
IASI,8499,3789,4710,879,7620,3.17,3.09,3.24
ILFOV,913,533,380,246,667,0.44,0.65,0.30
MARAMURES,3713,1890,1823,1117,2596,2.11,2.39,1.89
MEHEDINTI,5774,2517,3257,792,4982,6.99,7.01,6.97
BUCURESTI,12789,6576,6213,1210,11579,1.04,1.07,1.02
MURES,6713,3089,3624,1096,5617,3.23,3.49,3.04
NEAMT,6833,2944,3889,1471,5362,4.54,4.53,4.55
OLT,8430,3910,4520,1074,7356,6.51,7.06,6.11
PRAHOVA,5900,2897,3003,1733,4167,2.22,2.63,1.93
SALAJ,4627,1983,2644,729,3898,5.16,5.23,5.10
SATU MARE,4997,2186,2811,697,4300,3.91,3.84,3.97
SIBIU,4346,2050,2296,849,3497,2.36,2.51,2.24
SUCEAVA,11074,4596,6478,2931,8143,5.79,5.57,5.95
TELEORMAN,9362,3938,5424,971,8391,8.63,7.84,9.30
TIMIS,2487,1267,1220,904,1583,0.76,0.91,0.65
TULCEA,3020,1455,1565,884,2136,4.17,4.48,3.91
VALCEA,4828,2396,2432,1525,3303,3.47,4.01,3.07
VASLUI,9175,3731,5444,921,8254,8.66,7.54,9.64
VRANCEA,4983,2140,2843,618,4365,4.40,4.12,4.65
TOTAL,242063,112994,129069,46260,195803,3.09,3.23,2.98
