JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5060,2448,2612,1136,3924,3.36,3.53,3.21
ARAD,2354,1232,1122,766,1588,1.24,1.49,1.05
ARGES,8007,3833,4174,1670,6337,3.53,3.71,3.37
BACAU,5396,2373,3023,1252,4144,2.91,3.02,2.83
BIHOR,2728,1499,1229,1014,1714,1.17,1.44,0.95
BISTRITA NASAUD,4171,2101,2070,1319,2852,3.71,4.31,3.25
BOTOSANI,3323,1616,1707,608,2715,3.09,3.26,2.93
BRAILA,3370,1485,1885,341,3029,3.13,3.09,3.17
BRASOV,5210,2490,2720,682,4528,2.07,2.28,1.91
BUZAU,7274,3085,4189,843,6431,5.13,4.88,5.32
CALARASI,3230,1570,1660,497,2733,4.41,4.80,4.09
CARAS-SEVERIN,2336,1077,1259,890,1446,2.58,2.87,2.37
CLUJ,4100,2147,1953,909,3191,1.17,1.40,0.99
CONSTANTA,4865,2754,2111,1037,3828,1.78,2.40,1.34
COVASNA,3346,1587,1759,370,2976,4.30,4.65,4.03
DAMBOVITA,4540,2266,2274,938,3602,2.76,3.48,2.29
DOLJ,15644,6839,8805,1463,14181,6.95,6.94,6.96
GALATI,10390,4757,5633,977,9413,6.27,6.53,6.06
GIURGIU,2102,1151,951,301,1801,3.26,4.07,2.63
GORJ,4098,2089,2009,1004,3094,3.43,3.81,3.11
HARGHITA,4693,2239,2454,891,3802,3.96,4.51,3.57
HUNEDOARA,5826,3197,2629,1721,4105,3.74,4.60,3.05
IALOMITA,3453,1645,1808,473,2980,4.43,4.75,4.17
IASI,8176,3731,4445,758,7418,3.05,3.04,3.05
ILFOV,958,547,411,253,705,0.46,0.67,0.33
MARAMURES,3314,1686,1628,1044,2270,1.89,2.13,1.68
MEHEDINTI,5356,2258,3098,726,4630,6.48,6.29,6.63
BUCURESTI,13037,6760,6277,1169,11868,1.06,1.10,1.03
MURES,5950,2775,3175,860,5090,2.86,3.14,2.66
NEAMT,5636,2536,3100,936,4700,3.74,3.90,3.63
OLT,7378,3323,4055,787,6591,5.70,6.00,5.48
PRAHOVA,5766,2926,2840,1678,4088,2.17,2.66,1.82
SALAJ,4384,1946,2438,665,3719,4.89,5.13,4.71
SATU MARE,4482,2047,2435,471,4011,3.51,3.59,3.44
SIBIU,3572,1644,1928,772,2800,1.94,2.01,1.88
SUCEAVA,10061,4436,5625,2336,7725,5.26,5.38,5.17
TELEORMAN,8450,3598,4852,891,7559,7.79,7.17,8.32
TIMIS,2808,1511,1297,1011,1797,0.86,1.08,0.69
TULCEA,2472,1261,1211,461,2011,3.41,3.88,3.03
VALCEA,4639,2333,2306,1406,3233,3.34,3.90,2.91
VASLUI,8515,3525,4990,665,7850,8.03,7.12,8.83
VRANCEA,4954,2186,2768,580,4374,4.38,4.20,4.52
TOTAL,225424,106509,118915,38571,186853,2.88,3.05,2.74
