JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,4783,2297,2486,1086,3697,2.83,2.94,2.73
ARAD,2301,1219,1082,776,1525,1.10,1.26,0.96
ARGES,7759,3797,3962,1718,6041,3.03,3.17,2.92
BACAU,6163,2620,3543,1131,5032,2.87,2.78,2.93
BIHOR,2814,1491,1323,973,1841,1.06,1.25,0.91
BISTRITA NASAUD,4016,1983,2033,1454,2562,3.10,3.51,2.78
BOTOSANI,3084,1461,1623,556,2528,2.26,2.28,2.24
BRAILA,3226,1348,1878,313,2913,2.65,2.48,2.78
BRASOV,5069,2488,2581,761,4308,1.94,2.23,1.72
BUZAU,8396,3605,4791,944,7452,4.90,4.57,5.19
CALARASI,3211,1547,1664,472,2739,3.56,3.56,3.55
CARAS-SEVERIN,2323,1082,1241,811,1512,2.19,2.36,2.07
CLUJ,4002,2033,1969,892,3110,1.07,1.24,0.93
CONSTANTA,4617,2573,2044,975,3642,1.56,2.01,1.22
COVASNA,3462,1691,1771,330,3132,4.06,4.26,3.89
DAMBOVITA,4968,2470,2498,806,4162,2.57,3.10,2.20
DOLJ,14843,6397,8446,1407,13436,5.56,5.31,5.77
GALATI,10428,4677,5751,842,9586,5.55,5.53,5.56
GIURGIU,1914,1041,873,271,1643,2.37,2.81,1.99
GORJ,3594,1743,1851,951,2643,2.65,2.79,2.54
HARGHITA,4551,2112,2439,747,3804,3.35,3.58,3.17
HUNEDOARA,6330,3205,3125,2499,3831,3.70,4.04,3.41
IALOMITA,3467,1584,1883,507,2960,3.72,3.72,3.72
IASI,7834,3467,4367,667,7167,2.63,2.55,2.70
ILFOV,892,512,380,278,614,0.42,0.58,0.31
MARAMURES,3345,1698,1647,888,2457,1.67,1.87,1.51
MEHEDINTI,5178,2185,2993,650,4528,5.13,4.64,5.55
BUCURESTI,13437,7109,6328,1309,12128,1.10,1.16,1.03
MURES,5605,2559,3046,788,4817,2.38,2.53,2.27
NEAMT,5660,2530,3130,830,4830,3.12,3.14,3.11
OLT,7078,3130,3948,747,6331,4.42,4.32,4.50
PRAHOVA,5649,2892,2757,1536,4113,1.94,2.37,1.63
SALAJ,4250,1861,2389,620,3630,4.08,4.07,4.09
SATU MARE,4315,1961,2354,426,3889,2.95,2.90,3.00
SIBIU,3271,1544,1727,754,2517,1.66,1.80,1.56
SUCEAVA,10093,4334,5759,2253,7840,4.39,4.17,4.57
TELEORMAN,8178,3376,4802,814,7364,5.86,5.06,6.60
TIMIS,2457,1291,1166,896,1561,0.70,0.83,0.60
TULCEA,2440,1226,1214,442,1998,2.95,3.21,2.73
VALCEA,4249,2141,2108,1487,2762,2.62,3.01,2.32
VASLUI,8477,3532,4945,627,7850,6.46,5.48,7.41
VRANCEA,4983,2203,2780,467,4516,3.65,3.45,3.83
TOTAL,222712,104015,118697,37701,185011,2.55,2.62,2.49
