JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5677,2746,2931,1682,901,781,3995,1845,2150
ARAD,2126,1135,991,741,428,313,1385,707,678
ARGES,8270,3930,4340,1223,715,508,7047,3215,3832
BACAU,5091,2152,2939,1840,854,986,3251,1298,1953
BIHOR,2933,1537,1396,843,470,373,2090,1067,1023
BISTRITA NASAUD,3539,1764,1775,1055,600,455,2484,1164,1320
BOTOSANI,3424,1581,1843,1062,522,540,2362,1059,1303
BRAILA,3427,1488,1939,838,438,400,2589,1050,1539
BRASOV,5998,2956,3042,1617,888,729,4381,2068,2313
BUZAU,7786,3303,4483,1259,652,607,6527,2651,3876
CALARASI,3871,1850,2021,990,506,484,2881,1344,1537
CARAS-SEVERIN,2297,1077,1220,847,424,423,1450,653,797
CLUJ,4211,2079,2132,1593,952,641,2618,1127,1491
CONSTANTA,6314,4111,2203,2794,2027,767,3520,2084,1436
COVASNA,3020,1430,1590,768,399,369,2252,1031,1221
DAMBOVITA,5212,2795,2417,826,483,343,4386,2312,2074
DOLJ,16509,7201,9308,2207,1192,1015,14302,6009,8293
GALATI,9868,4586,5282,1615,919,696,8253,3667,4586
GIURGIU,2223,1200,1023,451,285,166,1772,915,857
GORJ,4134,2189,1945,1136,675,461,2998,1514,1484
HARGHITA,5134,2348,2786,1395,711,684,3739,1637,2102
HUNEDOARA,6016,3201,2815,3916,2089,1827,2100,1112,988
IALOMITA,4155,2126,2029,1166,626,540,2989,1500,1489
IASI,8125,3581,4544,1103,587,516,7022,2994,4028
ILFOV,934,540,394,160,110,50,774,430,344
MARAMURES,3783,1959,1824,1785,973,812,1998,986,1012
MEHEDINTI,6059,2685,3374,1034,570,464,5025,2115,2910
MURES,6360,2939,3421,1711,892,819,4649,2047,2602
NEAMT,6806,2902,3904,1105,585,520,5701,2317,3384
OLT,8065,3748,4317,1466,831,635,6599,2917,3682
PRAHOVA,5822,2889,2933,1701,977,724,4121,1912,2209
SALAJ,4645,2006,2639,759,419,340,3886,1587,2299
SATU MARE,4873,2161,2712,863,419,444,4010,1742,2268
SIBIU,4508,2213,2295,1258,655,603,3250,1558,1692
SUCEAVA,10996,4692,6304,2912,1385,1527,8084,3307,4777
TELEORMAN,9024,3819,5205,1786,869,917,7238,2950,4288
TIMIS,2124,1064,1060,948,512,436,1176,552,624
TULCEA,2827,1378,1449,770,402,368,2057,976,1081
VALCEA,4421,2211,2210,1318,735,583,3103,1476,1627
VASLUI,8988,3707,5281,1054,554,500,7934,3153,4781
VRANCEA,4762,2066,2696,787,398,389,3975,1668,2307
BUCURESTI,12369,6750,5619,12369,6750,5619,0,0,0
TOTAL,236726,112095,124631,66753,36379,30374,169973,75716,94257
