JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5443,2584,2859,1737,918,819,3706,1666,2040
ARAD,2348,1228,1120,914,513,401,1434,715,719
ARGES,8082,3911,4171,1329,799,530,6753,3112,3641
BACAU,5277,2353,2924,1913,943,970,3364,1410,1954
BIHOR,2859,1549,1310,794,453,341,2065,1096,969
BISTRITA NASAUD,4677,2376,2301,1498,832,666,3179,1544,1635
BOTOSANI,3305,1561,1744,1025,498,527,2280,1063,1217
BRAILA,3447,1528,1919,884,463,421,2563,1065,1498
BRASOV,5352,2538,2814,1599,863,736,3753,1675,2078
BUZAU,7346,3116,4230,1239,652,587,6107,2464,3643
CALARASI,3425,1705,1720,950,501,449,2475,1204,1271
CARAS-SEVERIN,2320,1085,1235,924,474,450,1396,611,785
CLUJ,4238,2173,2065,1647,1005,642,2591,1168,1423
CONSTANTA,5453,3264,2189,2478,1645,833,2975,1619,1356
COVASNA,3264,1538,1726,1028,520,508,2236,1018,1218
DAMBOVITA,4667,2395,2272,698,396,302,3969,1999,1970
DOLJ,16408,7163,9245,2259,1194,1065,14149,5969,8180
GALATI,9317,4339,4978,1839,976,863,7478,3363,4115
GIURGIU,2186,1199,987,528,324,204,1658,875,783
GORJ,4263,2133,2130,1362,784,578,2901,1349,1552
HARGHITA,5017,2387,2630,1501,770,731,3516,1617,1899
HUNEDOARA,6278,3387,2891,4235,2309,1926,2043,1078,965
IALOMITA,3619,1721,1898,935,466,469,2684,1255,1429
IASI,8338,3784,4554,1219,651,568,7119,3133,3986
ILFOV,839,507,332,178,112,66,661,395,266
MARAMURES,3397,1735,1662,1627,852,775,1770,883,887
MEHEDINTI,5580,2379,3201,884,471,413,4696,1908,2788
MURES,6412,3004,3408,1651,849,802,4761,2155,2606
NEAMT,6014,2709,3305,1134,613,521,4880,2096,2784
OLT,7920,3579,4341,1436,730,706,6484,2849,3635
PRAHOVA,5778,2858,2920,1720,963,757,4058,1895,2163
SALAJ,4555,1994,2561,831,472,359,3724,1522,2202
SATU MARE,4654,2115,2539,765,392,373,3889,1723,2166
SIBIU,3940,1847,2093,1251,639,612,2689,1208,1481
SUCEAVA,10375,4546,5829,2720,1287,1433,7655,3259,4396
TELEORMAN,8583,3701,4882,1722,836,886,6861,2865,3996
TIMIS,2831,1484,1347,1258,673,585,1573,811,762
TULCEA,2572,1287,1285,731,421,310,1841,866,975
VALCEA,4953,2469,2484,1556,850,706,3397,1619,1778
VASLUI,8529,3523,5006,1088,565,523,7441,2958,4483
VRANCEA,5044,2255,2789,906,468,438,4138,1787,2351
BUCURESTI,12963,6718,6245,12963,6718,6245,0,0,0
TOTAL,231868,109727,122141,68956,36860,32096,162912,72867,90045
