JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,4814,2277,2537,1108,3706,2.85,2.91,2.79
ARAD,2356,1206,1150,781,1575,1.12,1.24,1.02
ARGES,7731,3732,3999,1785,5946,3.02,3.11,2.94
BACAU,6212,2616,3596,1076,5136,2.89,2.78,2.98
BIHOR,2892,1522,1370,1064,1828,1.09,1.27,0.94
BISTRITA NASAUD,3958,1945,2013,1499,2459,3.06,3.44,2.76
BOTOSANI,2965,1380,1585,596,2369,2.17,2.15,2.18
BRAILA,3268,1345,1923,334,2934,2.68,2.47,2.85
BRASOV,5097,2487,2610,740,4357,1.95,2.23,1.74
BUZAU,8196,3476,4720,1002,7194,4.79,4.41,5.11
CALARASI,3143,1517,1626,493,2650,3.48,3.50,3.47
CARAS-SEVERIN,2287,1070,1217,821,1466,2.16,2.33,2.03
CLUJ,4121,2084,2037,996,3125,1.10,1.27,0.97
CONSTANTA,4536,2540,1996,1157,3379,1.54,1.98,1.19
COVASNA,3667,1799,1868,350,3317,4.30,4.53,4.11
DAMBOVITA,4895,2389,2506,798,4097,2.53,3.00,2.20
DOLJ,14819,6334,8485,1495,13324,5.55,5.26,5.79
GALATI,10337,4632,5705,865,9472,5.50,5.48,5.52
GIURGIU,1915,1022,893,281,1634,2.37,2.76,2.04
GORJ,3563,1719,1844,1018,2545,2.63,2.75,2.53
HARGHITA,4436,2057,2379,736,3700,3.26,3.49,3.09
HUNEDOARA,6395,3191,3204,2622,3773,3.74,4.02,3.50
IALOMITA,3586,1649,1937,549,3037,3.85,3.87,3.83
IASI,7851,3413,4438,683,7168,2.63,2.51,2.74
ILFOV,981,575,406,278,703,0.47,0.65,0.33
MARAMURES,3336,1684,1652,883,2453,1.67,1.85,1.52
MEHEDINTI,5251,2210,3041,684,4567,5.20,4.69,5.64
BUCURESTI,13487,7139,6348,1392,12095,1.10,1.17,1.03
MURES,5486,2490,2996,786,4700,2.33,2.46,2.23
NEAMT,5578,2464,3114,907,4671,3.08,3.06,3.09
OLT,7122,3154,3968,800,6322,4.44,4.35,4.52
PRAHOVA,5658,2856,2802,1550,4108,1.94,2.34,1.65
SALAJ,4155,1766,2389,625,3530,3.99,3.86,4.09
SATU MARE,4351,1955,2396,438,3913,2.98,2.89,3.05
SIBIU,3356,1555,1801,805,2551,1.71,1.81,1.63
SUCEAVA,10126,4332,5794,2323,7803,4.40,4.17,4.60
TELEORMAN,8258,3415,4843,872,7386,5.92,5.12,6.65
TIMIS,2339,1243,1096,838,1501,0.67,0.80,0.56
TULCEA,2341,1140,1201,460,1881,2.83,2.98,2.70
VALCEA,4333,2146,2187,1343,2990,2.67,3.01,2.41
VASLUI,8628,3562,5066,657,7971,6.58,5.52,7.60
VRANCEA,4822,2079,2743,480,4342,3.54,3.25,3.78
TOTAL,222648,103167,119481,38970,183678,2.55,2.60,2.51
