JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,4581,2209,2372,1064,3517,2.71,2.82,2.61
ARAD,2311,1225,1086,767,1544,1.10,1.26,0.96
ARGES,7820,3824,3996,1681,6139,3.06,3.19,2.94
BACAU,5969,2573,3396,1163,4806,2.78,2.73,2.81
BIHOR,2721,1461,1260,944,1777,1.03,1.22,0.87
BISTRITA NASAUD,4043,2008,2035,1379,2664,3.12,3.55,2.79
BOTOSANI,3326,1602,1724,516,2810,2.43,2.50,2.37
BRAILA,3331,1419,1912,325,3006,2.73,2.61,2.83
BRASOV,5259,2628,2631,710,4549,2.01,2.35,1.76
BUZAU,8580,3713,4867,936,7644,5.01,4.71,5.27
CALARASI,3304,1590,1714,309,2995,3.66,3.66,3.65
CARAS-SEVERIN,2292,1061,1231,823,1469,2.16,2.31,2.05
CLUJ,4013,2054,1959,879,3134,1.07,1.25,0.93
CONSTANTA,4742,2619,2123,881,3861,1.60,2.04,1.27
COVASNA,3477,1740,1737,339,3138,4.08,4.38,3.82
DAMBOVITA,5106,2564,2542,775,4331,2.64,3.22,2.23
DOLJ,14795,6374,8421,1329,13466,5.54,5.29,5.75
GALATI,10817,4917,5900,847,9970,5.75,5.81,5.71
GIURGIU,2027,1115,912,256,1771,2.51,3.01,2.08
GORJ,3751,1833,1918,892,2859,2.77,2.93,2.63
HARGHITA,4501,2111,2390,744,3757,3.31,3.58,3.10
HUNEDOARA,5690,3117,2573,1808,3882,3.33,3.93,2.81
IALOMITA,3411,1603,1808,476,2935,3.66,3.76,3.57
IASI,7955,3533,4422,644,7311,2.67,2.60,2.73
ILFOV,903,515,388,258,645,0.43,0.58,0.32
MARAMURES,3170,1619,1551,889,2281,1.59,1.78,1.42
MEHEDINTI,5077,2160,2917,626,4451,5.03,4.59,5.41
BUCURESTI,13386,7023,6363,1216,12170,1.09,1.15,1.03
MURES,5682,2644,3038,840,4842,2.41,2.62,2.26
NEAMT,5486,2453,3033,797,4689,3.03,3.05,3.01
OLT,7356,3273,4083,730,6626,4.59,4.51,4.65
PRAHOVA,5806,2951,2855,1505,4301,1.99,2.42,1.69
SALAJ,4343,1930,2413,589,3754,4.17,4.22,4.13
SATU MARE,4377,1991,2386,409,3968,3.00,2.95,3.04
SIBIU,3362,1590,1772,751,2611,1.71,1.85,1.60
SUCEAVA,10071,4427,5644,2226,7845,4.38,4.26,4.48
TELEORMAN,7914,3334,4580,800,7114,5.67,5.00,6.29
TIMIS,2745,1431,1314,917,1828,0.78,0.92,0.67
TULCEA,2477,1269,1208,412,2065,3.00,3.32,2.71
VALCEA,4226,2129,2097,1471,2755,2.61,2.99,2.31
VASLUI,8281,3461,4820,625,7656,6.31,5.37,7.23
VRANCEA,4996,2223,2773,460,4536,3.66,3.48,3.82
TOTAL,223480,105316,118164,36008,187472,2.56,2.65,2.48
